time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.103932,-0.103932,
-27,0,0.1246405,0.1246405,
-26,0,-0.210329,-0.210329,
-25,0,-0.04369165,-0.04369165,
-24,0,-0.04057035,-0.04057035,
-23,0,0.1711065,0.1711065,
-22,0,-0.2085795,-0.2085795,
-21,0,0.1375695,0.1375695,
-20,0,-0.2051775,-0.2051775,
-19,0,0.1239495,0.1239495,
-18,0,-0.201649,-0.201649,
-17,0,0.02482025,0.02482025,
-16,0,0.001520565,0.001520565,
-15,0,-0.3503755,-0.3503755,
-14,0,-0.02498625,-0.02498625,
-13,0,0.0006039085,0.0006039085,
-12,0,-0.194703,-0.194703,
-11,0,-0.000401552,-0.000401552,
-10,0,-0.362629,-0.362629,
-9,0,-0.000463336,-0.000463336,
-8,0,-0.1917105,-0.1917105,
-7,0,-0.187894,-0.187894,
-6,0,-0.01976615,-0.01976615,
-5,0,-0.35321,-0.35321,
-4,0,-0.1827495,-0.1827495,
-3,0,-0.174894,-0.174894,
-2,0,-0.001572465,-0.001572465,
-1,0,-0.000925892,-0.000925892,
0,0,0.3519045,0.3519045,
1,1,0.1194245,0.2206165,0.08252345
2,1,0.0696698,0.2482985,0.153062
3,1,0.2136865,0.44924,0.201818
4,1,0.041189,0.279363,0.215665
5,1,0.3659665,0.626251,0.227159
6,1,0.063087,0.252607,0.166037
7,1,-0.0505589,0.0293547,0.09461495
8,1,0.1488345,0.2103905,0.0363696
9,1,0.01980385,-0.02328815,-0.0498719
10,1,-0.256954,-0.4168985,-0.1401785
11,1,0.101012,-0.06257555,-0.1795385
12,1,-0.1786335,-0.450019,-0.2426215
13,1,-0.007011455,-0.2854135,-0.272016
14,1,-0.1397435,-0.4707915,-0.303681
15,1,0.00769221,-0.2990155,-0.3076665
16,1,0.011262,-0.29872,-0.3160105
17,1,0.0322753,-0.282052,-0.324755
18,1,0.0106401,-0.329114,-0.343939
19,1,-0.09824585,-0.489179,-0.368628
20,1,0.04359055,-0.317798,-0.371892
21,1,-0.1285615,-0.5386395,-0.3872245
22,1,-0.1116345,-0.5104575,-0.376298
23,1,0.02440655,-0.310407,-0.3447725
24,1,-0.00173898,-0.322882,-0.3230115
25,1,0.001142985,-0.295127,-0.2999405
26,1,-0.008123255,-0.2884235,-0.277519
27,1,0.1402345,-0.0940269,-0.2549965
28,1,-0.0305659,-0.2986685,-0.2597615
29,1,-0.0204695,-0.281761,-0.255144
30,1,-0.0236917,-0.2759925,-0.246764
31,1,-0.02634095,-0.2742,-0.2354805
32,1,-0.03917855,-0.2700035,-0.21745
33,1,-0.0626039,-0.272536,-0.192685
34,1,0.07705635,-0.06130855,-0.154981
35,1,0.07009495,-0.0452768,-0.132393
36,1,-0.09331305,-0.236511,-0.124697
37,1,0.0491479,-0.030494,-0.0968677
38,1,0.0403315,-0.0269289,-0.07907415
39,1,-0.123996,-0.210774,-0.0695222
40,1,0.179995,0.174272,-0.0284116
41,1,0.0109994,-0.008516175,-0.02455575
42,1,0.0193131,0.000983112,-0.0251136
43,1,-0.1484775,-0.198646,-0.0302596
44,1,0.167013,0.1871665,-0.002843275
45,1,0.00237925,-0.01172065,-0.0119351
46,1,0.0101934,-0.005932665,-0.0190855
47,1,0.01269785,-0.007968195,-0.02379515
48,1,0.01979295,-0.01004374,-0.0318763
49,1,0.0223132,-0.01198635,-0.04804885
50,1,-0.121,-0.209178,-0.06349575
51,1,0.03262615,-0.01681175,-0.05665265
52,1,0.0296078,-0.0167483,-0.0560061
53,1,-0.1254855,-0.2092605,-0.0626657
54,1,0.0230773,-0.01162295,-0.0411016
55,1,0.0170629,-0.008848415,-0.0314652
56,1,0.008723695,-0.008403435,-0.021982
57,1,0.00509515,-0.00672455,-0.01511495
58,1,0.0010762645,-0.004745785,-0.006262505
59,1,-0.00105901,-0.0006459065,8.930739e-05
60,1,0.1604865,0.187413,0.001804695
61,1,0.01242765,-0.007621685,-0.02329365
62,1,-0.132105,-0.2069465,-0.0494471
63,1,0.03100935,-0.01451495,-0.04911385
64,1,-0.1309105,-0.209083,-0.0557371
65,1,0.01594815,-0.0179192,-0.0399316
66,1,0.0152388,-0.006942065,-0.0292835
67,1,0.01500995,-0.001194025,-0.01718255
68,1,0.004517005,-0.00502324,-0.0103654
69,1,0.00112406,-0.00179394,-0.004427305
70,1,0.00605107,0.009227005,0.001942125
71,1,0.16444,0.1915685,0.006358435
72,1,-0.143317,-0.1833435,-0.0167769
73,1,0.0264406,0.015916,-0.0126716
74,1,0.005209865,-0.0095469,-0.0175026
75,1,0.0315383,0.02009705,-0.0203457
76,1,0.0184247,-0.008678905,-0.0312218
77,1,-0.1282665,-0.203743,-0.047254
78,1,0.04987695,0.01916385,-0.04165555
79,1,-0.132885,-0.19949,-0.044385
80,1,0.01091595,-0.006861355,-0.0223541
81,1,-0.000594123,0.001513405,0.00257588
82,1,-0.03688305,-0.02602125,0.02359995
83,1,0.1250695,0.205647,0.0557535
84,1,-0.009408975,0.05466345,0.06419045
85,1,0.116282,0.211806,0.07168765
86,1,0.000746968,0.05760355,0.0582107
87,1,-0.05595835,-0.0265109,0.04450785
88,1,0.00814886,0.0501441,0.03964655
89,1,-0.1803175,-0.1672265,0.03480215
90,1,0.152396,0.2558685,0.07041435
