time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0.170663190000001,-0.174280935,-0.1089244,-0.07921766,-0.04143671,-0.0213719,-0.00519481799999999,0.00745667,0.01973883,0.03315801,0.04870448,0.08324945,0.1197276,0.13807735,0.1528206,0.16412375,0.1743324,0.18884045,0.2115947,0.25030605,0.28638355,0.35408868,-0.174280935,-0.1089244,-0.07921766,-0.04143671,-0.0213719,-0.00519481799999999,0.00745667,0.01973883,0.03315801,0.04870448,0.08324945,0.1197276,0.13807735,0.1528206,0.16412375,0.1743324,0.18884045,0.2115947,0.25030605,0.28638355,0.35408868,,,,,,,,,,,,,,,,,,,,,
-27,0,-0.337283320000001,-0.45536392,-0.39305795,-0.3706701,-0.3478299,-0.33433855,-0.3204322,-0.30144575,-0.2768549,-0.250341,-0.2252678,-0.171253,-0.1165224,-0.09106545,-0.06806082,-0.046712375,-0.02576968,-0.00903966349999999,0.009925819,0.038467465,0.0687615975000001,0.129755355,-0.45536392,-0.39305795,-0.3706701,-0.3478299,-0.33433855,-0.3204322,-0.30144575,-0.2768549,-0.250341,-0.2252678,-0.171253,-0.1165224,-0.09106545,-0.06806082,-0.046712375,-0.02576968,-0.00903966349999999,0.009925819,0.038467465,0.0687615975000001,0.129755355,,,,,,,,,,,,,,,,,,,,,
-26,0,0.16662013,-0.167466225,-0.110325975,-0.07814961,-0.04239341,-0.018635145,-0.00382502,0.010126075,0.02363339,0.0379606,0.05346592,0.086838,0.1217932,0.1378517,0.1517196,0.1635865,0.175223,0.1896672,0.2106674,0.25135795,0.291064125,0.37299093,-0.167466225,-0.110325975,-0.07814961,-0.04239341,-0.018635145,-0.00382502,0.010126075,0.02363339,0.0379606,0.05346592,0.086838,0.1217932,0.1378517,0.1517196,0.1635865,0.175223,0.1896672,0.2106674,0.25135795,0.291064125,0.37299093,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.16662013,-0.34084643,-0.282775925,-0.24691755,-0.2126162,-0.18831895,-0.1735924,-0.1636805,-0.1523683,-0.13795735,-0.1235742,-0.08927115,-0.0544913,-0.03624577,-0.02049993,-0.0072566175,0.00505934200000002,0.02103972,0.04200763,0.0783627249999999,0.107116275,0.17230606,-0.34084643,-0.282775925,-0.24691755,-0.2126162,-0.18831895,-0.1735924,-0.1636805,-0.1523683,-0.13795735,-0.1235742,-0.08927115,-0.0544913,-0.03624577,-0.02049993,-0.0072566175,0.00505934200000002,0.02103972,0.04200763,0.0783627249999999,0.107116275,0.17230606,,,,,,,,,,,,,,,,,,,,,
-24,0,0.16662013,-0.161274265,-0.105184025,-0.07337447,-0.04145925,-0.01849152,-0.003635874,0.00813033,0.02270572,0.037822725,0.05361252,0.08741815,0.1220076,0.13652445,0.1510744,0.16163075,0.171186,0.18656765,0.2070679,0.24334115,0.27497125,0.3369311,-0.161274265,-0.105184025,-0.07337447,-0.04145925,-0.01849152,-0.003635874,0.00813033,0.02270572,0.037822725,0.05361252,0.08741815,0.1220076,0.13652445,0.1510744,0.16163075,0.171186,0.18656765,0.2070679,0.24334115,0.27497125,0.3369311,,,,,,,,,,,,,,,,,,,,,
-23,0,0,-0.2695044,-0.1747417,-0.1417022,-0.1030484,-0.079133665,-0.0620342,-0.046199825,-0.03353459,-0.023418075,-0.0151474,-0.00067392,0.01312858,0.022285935,0.03271597,0.044764275,0.05983366,0.076970415,0.1018285,0.14213955,0.18319865,0.25669035,-0.2695044,-0.1747417,-0.1417022,-0.1030484,-0.079133665,-0.0620342,-0.046199825,-0.03353459,-0.023418075,-0.0151474,-0.00067392,0.01312858,0.022285935,0.03271597,0.044764275,0.05983366,0.076970415,0.1018285,0.14213955,0.18319865,0.25669035,,,,,,,,,,,,,,,,,,,,,
-22,0,-0.409428699999999,-0.533363825,-0.467382075,-0.44023025,-0.4163277,-0.4021543,-0.3843854,-0.359172,-0.3304603,-0.3026416,-0.2700496,-0.2076635,-0.1442108,-0.1142321,-0.08627693,-0.0603723,-0.03686298,-0.017238095,0.000162082199999991,0.026370505,0.0531677775000001,0.11489737,-0.533363825,-0.467382075,-0.44023025,-0.4163277,-0.4021543,-0.3843854,-0.359172,-0.3304603,-0.3026416,-0.2700496,-0.2076635,-0.1442108,-0.1142321,-0.08627693,-0.0603723,-0.03686298,-0.017238095,0.000162082199999991,0.026370505,0.0531677775000001,0.11489737,,,,,,,,,,,,,,,,,,,,,
-21,0,-0.0683735300000006,-0.29550241,-0.2177975,-0.17898335,-0.1410167,-0.11548165,-0.09829042,-0.0852505,-0.07431437,-0.065051255,-0.05673246,-0.0343439,-0.01471304,-0.00390145300000001,0.00627106699999998,0.0195674,0.03514554,0.0553858,0.07865928,0.10968185,0.14400055,0.210628595,-0.29550241,-0.2177975,-0.17898335,-0.1410167,-0.11548165,-0.09829042,-0.0852505,-0.07431437,-0.065051255,-0.05673246,-0.0343439,-0.01471304,-0.00390145300000001,0.00627106699999998,0.0195674,0.03514554,0.0553858,0.07865928,0.10968185,0.14400055,0.210628595,,,,,,,,,,,,,,,,,,,,,
-20,0,0,-0.25219241,-0.180095625,-0.1455302,-0.1061406,-0.080331595,-0.06109454,-0.046681575,-0.03313875,-0.02349764,-0.01453828,-0.0003816705,0.013667,0.02328384,0.03411714,0.0455114,0.06051508,0.07934876,0.1052212,0.14219425,0.181236475,0.23911317,-0.25219241,-0.180095625,-0.1455302,-0.1061406,-0.080331595,-0.06109454,-0.046681575,-0.03313875,-0.02349764,-0.01453828,-0.0003816705,0.013667,0.02328384,0.03411714,0.0455114,0.06051508,0.07934876,0.1052212,0.14219425,0.181236475,0.23911317,,,,,,,,,,,,,,,,,,,,,
-19,0,-0.17242553,-0.352221895,-0.279540675,-0.2478562,-0.21419,-0.19127725,-0.1780948,-0.16727675,-0.1561942,-0.1416163,-0.1254882,-0.0914371,-0.05368906,-0.0361679,-0.02014343,-0.00733582,0.005645908,0.0225583,0.04188151,0.0767216649999999,0.11196285,0.17345962,-0.352221895,-0.279540675,-0.2478562,-0.21419,-0.19127725,-0.1780948,-0.16727675,-0.1561942,-0.1416163,-0.1254882,-0.0914371,-0.05368906,-0.0361679,-0.02014343,-0.00733582,0.005645908,0.0225583,0.04188151,0.0767216649999999,0.11196285,0.17345962,,,,,,,,,,,,,,,,,,,,,
-18,0,0,-0.237711985,-0.1750551,-0.14449635,-0.1068773,-0.08077358,-0.06067738,-0.045302775,-0.03240771,-0.021982475,-0.01271318,0.001403515,0.0149908,0.024363925,0.03428154,0.046034025,0.06307452,0.08175033,0.1034687,0.14187395,0.17076215,0.2300592,-0.237711985,-0.1750551,-0.14449635,-0.1068773,-0.08077358,-0.06067738,-0.045302775,-0.03240771,-0.021982475,-0.01271318,0.001403515,0.0149908,0.024363925,0.03428154,0.046034025,0.06307452,0.08175033,0.1034687,0.14187395,0.17076215,0.2300592,,,,,,,,,,,,,,,,,,,,,
