time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-48,0,0.0578132816026464,-0.276670575,-0.1809519,-0.13891325,-0.09420931,-0.06315791,-0.04287332,-0.0263247,-0.01374901,-0.00280548,0.00722984800000001,0.0286446,0.0495018,0.05945607,0.07157577,0.084775825,0.1023012,0.1212232,0.1497584,0.194666,0.234245675,0.31100925,-0.276670575,-0.1809519,-0.13891325,-0.09420931,-0.06315791,-0.04287332,-0.0263247,-0.01374901,-0.00280548,0.00722984800000001,0.0286446,0.0495018,0.05945607,0.07157577,0.084775825,0.1023012,0.1212232,0.1497584,0.194666,0.234245675,0.31100925,,,,,,,,,,,,,,,,,,,,,
-47,0,-0.265238620787926,-0.44096795,-0.36917165,-0.33885865,-0.2961228,-0.2760871,-0.2594688,-0.24241425,-0.2232516,-0.2015756,-0.1741976,-0.122447,-0.07965484,-0.056948075,-0.03503824,-0.01572335,4.99610000000523e-05,0.015537075,0.0373334,0.0746333849999999,0.107680375,0.181984525,-0.44096795,-0.36917165,-0.33885865,-0.2961228,-0.2760871,-0.2594688,-0.24241425,-0.2232516,-0.2015756,-0.1741976,-0.122447,-0.07965484,-0.056948075,-0.03503824,-0.01572335,4.99610000000523e-05,0.015537075,0.0373334,0.0746333849999999,0.107680375,0.181984525,,,,,,,,,,,,,,,,,,,,,
-46,0,-0.0794781343766147,-0.337762955,-0.25139065,-0.2079808,-0.1648453,-0.13898115,-0.1169758,-0.10062225,-0.08845621,-0.077388015,-0.06612114,-0.03961675,-0.01466246,-0.003435644,0.00661845299999999,0.020366275,0.03646708,0.05676369,0.08317566,0.12355975,0.15728015,0.244377135,-0.337762955,-0.25139065,-0.2079808,-0.1648453,-0.13898115,-0.1169758,-0.10062225,-0.08845621,-0.077388015,-0.06612114,-0.03961675,-0.01466246,-0.003435644,0.00661845299999999,0.020366275,0.03646708,0.05676369,0.08317566,0.12355975,0.15728015,0.244377135,,,,,,,,,,,,,,,,,,,,,
-45,0,-0.17432927400519,-0.382127165,-0.31005475,-0.27193785,-0.2337005,-0.2059057,-0.1876272,-0.17321575,-0.1602142,-0.14565405,-0.1300094,-0.09015705,-0.05450564,-0.03665137,-0.0194775,-0.003855085,0.0118231000000001,0.030386545,0.05715903,0.09986737,0.13972505,0.211054435,-0.382127165,-0.31005475,-0.27193785,-0.2337005,-0.2059057,-0.1876272,-0.17321575,-0.1602142,-0.14565405,-0.1300094,-0.09015705,-0.05450564,-0.03665137,-0.0194775,-0.003855085,0.0118231000000001,0.030386545,0.05715903,0.09986737,0.13972505,0.211054435,,,,,,,,,,,,,,,,,,,,,
-44,0,0.214649759254495,-0.213931775,-0.133021775,-0.088774755,-0.04424423,-0.02159513,-0.005670116,0.00859091,0.02494125,0.04380106,0.06570264,0.1084925,0.1529368,0.1711297,0.1882559,0.20384675,0.218297,0.2349658,0.2613819,0.30135825,0.340387025,0.419708325,-0.213931775,-0.133021775,-0.088774755,-0.04424423,-0.02159513,-0.005670116,0.00859091,0.02494125,0.04380106,0.06570264,0.1084925,0.1529368,0.1711297,0.1882559,0.20384675,0.218297,0.2349658,0.2613819,0.30135825,0.340387025,0.419708325,,,,,,,,,,,,,,,,,,,,,
-43,0,0.0959479869727122,-0.255384835,-0.162404775,-0.1204336,-0.0765753,-0.05019661,-0.02916256,-0.01256605,0.000921541800000003,0.011177305,0.02377122,0.0490408,0.07545032,0.08699016,0.09772644,0.1105715,0.125935,0.1463299,0.1725346,0.2181377,0.262476725,0.34950523,-0.255384835,-0.162404775,-0.1204336,-0.0765753,-0.05019661,-0.02916256,-0.01256605,0.000921541800000003,0.011177305,0.02377122,0.0490408,0.07545032,0.08699016,0.09772644,0.1105715,0.125935,0.1463299,0.1725346,0.2181377,0.262476725,0.34950523,,,,,,,,,,,,,,,,,,,,,
-42,0,-0.319582336152658,-0.496867285,-0.41955475,-0.37469675,-0.3411701,-0.3237006,-0.30676,-0.2869185,-0.2657773,-0.24164195,-0.2127916,-0.1542255,-0.09658358,-0.07305861,-0.0491444800000001,-0.028040025,-0.0100164,0.0064586245,0.02464638,0.0620090499999999,0.09333831,0.176525435,-0.496867285,-0.41955475,-0.37469675,-0.3411701,-0.3237006,-0.30676,-0.2869185,-0.2657773,-0.24164195,-0.2127916,-0.1542255,-0.09658358,-0.07305861,-0.0491444800000001,-0.028040025,-0.0100164,0.0064586245,0.02464638,0.0620090499999999,0.09333831,0.176525435,,,,,,,,,,,,,,,,,,,,,
-41,0,0.636959508203455,-0.10043397,-0.0496214875,-0.023587235,0.001285294,0.022835045,0.04854426,0.080827275,0.1124905,0.1543364,0.19964,0.3016215,0.4101844,0.4660656,0.5123108,0.5537465,0.5859352,0.6140259,0.6357577,0.65728235,0.684171525,0.738867455,-0.10043397,-0.0496214875,-0.023587235,0.001285294,0.022835045,0.04854426,0.080827275,0.1124905,0.1543364,0.19964,0.3016215,0.4101844,0.4660656,0.5123108,0.5537465,0.5859352,0.6140259,0.6357577,0.65728235,0.684171525,0.738867455,,,,,,,,,,,,,,,,,,,,,
-40,0,0.149333093423703,-0.22616334,-0.15179065,-0.10979195,-0.06509202,-0.037622825,-0.01965854,-0.005139645,0.00894526800000001,0.02232424,0.0388136,0.07388095,0.1074324,0.12310305,0.1374529,0.15000725,0.1635912,0.18359565,0.2085778,0.25703455,0.294949,0.388895905000001,-0.22616334,-0.15179065,-0.10979195,-0.06509202,-0.037622825,-0.01965854,-0.005139645,0.00894526800000001,0.02232424,0.0388136,0.07388095,0.1074324,0.12310305,0.1374529,0.15000725,0.1635912,0.18359565,0.2085778,0.25703455,0.294949,0.388895905000001,,,,,,,,,,,,,,,,,,,,,
-39,0,0.199519607127886,-0.21082682,-0.1298832,-0.086597535,-0.05131973,-0.0247622,-0.00633030199999999,0.00881784,0.02394926,0.042068835,0.05973358,0.0982684,0.1399196,0.15968305,0.1763192,0.18985,0.2039664,0.21847935,0.2452064,0.28670355,0.3234804,0.398933105,-0.21082682,-0.1298832,-0.086597535,-0.05131973,-0.0247622,-0.00633030199999999,0.00881784,0.02394926,0.042068835,0.05973358,0.0982684,0.1399196,0.15968305,0.1763192,0.18985,0.2039664,0.21847935,0.2452064,0.28670355,0.3234804,0.398933105,,,,,,,,,,,,,,,,,,,,,
